"","well","include","strain","isolate","description","strain.isolate","time.min","GFP","OD","other","other.bg","GFP.bg","OD.bg","well.OD.offset","well.GFP.offset","well.other.offset","logOD","specific.growth.rate","specific.growth.rate.adj.r.squared","fit.OD","GFP.rate","GFP.rate.adj.r.squared","other.rate","other.rate.adj.r.squared"
"1","D3",TRUE,"BB131",1,NA,"BB131__1",10,786.025,0.0199891666666667,645.383333333333,19.2,4038.6,0.08664,-0.00107083333333333,-88.375,-44.4166666666667,-3.9125648188492,NA,NA,NA,NA,NA,NA,NA
"2","D3",TRUE,"BB131",1,NA,"BB131__1",20,893.825,0.0201291666666667,631.983333333333,20.6,4134.8,0.0864,-0.00107083333333333,-88.375,-44.4166666666667,-3.90558543776972,NA,NA,NA,NA,NA,NA,NA
"3","D3",TRUE,"BB131",1,NA,"BB131__1",30,794.625,0.0209691666666667,633.583333333333,23,4022,0.08616,-0.00107083333333333,-88.375,-44.4166666666667,-3.86470217416806,0.33783179551632,0.858095079757982,0.0216506465987898,1030.91609288234,-0.315438310638682,-1042.0012121606,0.629036649784903
"4","D3",TRUE,"BB131",1,NA,"BB131__1",40,882.225,0.0225091666666667,628.383333333333,25.2,4179.4,0.08602,-0.00107083333333333,-88.375,-44.4166666666667,-3.79383264533222,0.53856599276258,0.936834062812251,0.0232990700899051,3167.50839047332,-0.20606557994861,412.033611768896,-0.0820573223400047
"5","D3",TRUE,"BB131",1,NA,"BB131__1",50,810.425,0.0250491666666667,628.383333333333,25.2,4117.2,0.08578,-0.00107083333333333,-88.375,-44.4166666666667,-3.68691471880435,0.67947924422352,0.982487293404936,0.0256622437141258,4498.4375211298,-0.00122659053049068,1594.56049345661,0.512722007581544
"6","D3",TRUE,"BB131",1,NA,"BB131__1",60,947.425,0.0288491666666667,642.583333333333,27,4185.2,0.08578,-0.00107083333333333,-88.375,-44.4166666666667,-3.54567417148276,0.807342702898767,0.992517504475767,0.0290005622376545,7021.9328277571,0.203962408446102,1684.10528043439,0.724146956493983
"7","D3",TRUE,"BB131",1,NA,"BB131__1",70,858.225,0.0326291666666667,660.583333333333,28,4197.4,0.0858,-0.00107083333333333,-88.375,-44.4166666666667,-3.42254870757319,0.913383846390523,0.992182390896094,0.0335046767326212,13083.5466194246,0.710119058929248,2163.28008708799,0.807568777931017
"8","D3",TRUE,"BB131",1,NA,"BB131__1",80,1028.025,0.0386491666666667,652.983333333333,27.6,4227.6,0.08548,-0.00107083333333333,-88.375,-44.4166666666667,-3.25323006519883,1.0073168936481,0.992072085294399,0.0393605000787672,6231.62814265958,0.195912507659173,2326.18995736265,0.812271732628066
"9","D3",TRUE,"BB131",1,NA,"BB131__1",90,1135.425,0.0463291666666667,683.583333333333,28,4184.2,0.0854,-0.00107083333333333,-88.375,-44.4166666666667,-3.07198356662088,1.11208420786589,0.998628462168295,0.0467851025806036,8135.92316794037,0.513808211921111,2790.63190627967,0.857884366515516
"10","D3",TRUE,"BB131",1,NA,"BB131__1",100,1013.225,0.0560491666666667,707.383333333333,29.2,4259.4,0.08528,-0.00107083333333333,-88.375,-44.4166666666667,-2.88152599725216,1.14657758120768,0.999671442489938,0.0563449634563567,4981.45677594427,0.434084504710973,3200.99595307576,0.995776166849352
"11","D3",TRUE,"BB131",1,NA,"BB131__1",110,1182.825,0.0684491666666667,742.183333333333,28.4,4247.8,0.08528,-0.00107083333333333,-88.375,-44.4166666666667,-2.68166390165829,1.14764641465641,0.999704802601813,0.068044017862993,9122.91806827023,0.592531798413716,3006.87711316465,0.98320935656624
"12","D3",TRUE,"BB131",1,NA,"BB131__1",120,1238.225,0.0826691666666667,773.983333333333,29.6,4269.4,0.08546,-0.00107083333333333,-88.375,-44.4166666666667,-2.49290858000706,1.12358287405996,0.999360400709563,0.0821326628514015,14354.8249754559,0.929087942563382,2903.10811462911,0.990218272745223
"13","D3",TRUE,"BB131",1,NA,"BB131__1",130,1540.225,0.0992691666666667,820.783333333333,29.8,4226.4,0.08536,-0.00107083333333333,-88.375,-44.4166666666667,-2.30992026302976,1.09150538609047,0.999802858294606,0.0988934275168116,14633.9350990133,0.955151901597317,2346.76869664111,0.984398692257828
"14","D3",TRUE,"BB131",1,NA,"BB131__1",140,1817.025,0.118709166666667,866.783333333333,28.8,4231.6,0.08552,-0.00107083333333333,-88.375,-44.4166666666667,-2.13107875484979,1.04514160256136,0.998560339096949,0.11795358326819,13286.582370598,0.987774188700178,2022.49048642794,0.985118582956027
"15","D3",TRUE,"BB131",1,NA,"BB131__1",150,2099.425,0.141849166666667,889.183333333333,28.4,4210.2,0.08508,-0.00107083333333333,-88.375,-44.4166666666667,-1.95299099249486,0.98729081834004,0.99716701280388,0.139542837162807,11279.117094084,0.98718736997593,1882.43270196325,0.96509142206654
"16","D3",TRUE,"BB131",1,NA,"BB131__1",160,2264.625,0.165229166666667,938.583333333333,30,4219,0.0851,-0.00107083333333333,-88.375,-44.4166666666667,-1.80042187980671,0.891643771828131,0.992232270589514,0.162828705778166,11640.4536346451,0.951011492105606,1620.59876812817,0.965965293826667
"17","D3",TRUE,"BB131",1,NA,"BB131__1",170,2628.025,0.191569166666667,1003.78333333333,28.8,4302.6,0.08506,-0.00107083333333333,-88.375,-44.4166666666667,-1.6525063519346,0.77591373247789,0.98903390752031,0.187058526384759,12437.6046629092,0.960265771401876,1615.32332067285,0.983039998471922
