"","well","include","strain","isolate","description","strain.isolate","time.min","GFP","OD","other","other.bg","GFP.bg","OD.bg","well.OD.offset","well.GFP.offset","well.other.offset","logOD","specific.growth.rate","specific.growth.rate.adj.r.squared","fit.OD","GFP.rate","GFP.rate.adj.r.squared","other.rate","other.rate.adj.r.squared"
"1","D5",TRUE,"BB0",1,NA,"BB0__1",10,1237.62222222222,0.0175711111111111,1.52222222222222,19.2,4038.6,0.08664,0.00281111111111111,-49.7777777777778,-0.277777777777778,-4.04149913967558,NA,NA,NA,NA,NA,NA,NA
"2","D5",TRUE,"BB0",1,NA,"BB0__1",20,1252.42222222222,0.0180111111111111,0.122222222222221,20.6,4134.8,0.0864,0.00281111111111111,-49.7777777777778,-0.277777777777778,-4.01676642757673,NA,NA,NA,NA,NA,NA,NA
"3","D5",TRUE,"BB0",1,NA,"BB0__1",30,1339.22222222222,0.0186511111111111,1.72222222222222,23,4022,0.08616,0.00281111111111111,-49.7777777777778,-0.277777777777778,-3.98184955766368,0.225258736862563,0.976469962457006,0.0187839889487111,9525.13337228496,0.165389283350722,-51.1073554515624,-0.287651677373305
"4","D5",TRUE,"BB0",1,NA,"BB0__1",40,1221.82222222222,0.0193911111111111,-1.47777777777778,25.2,4179.4,0.08602,0.00281111111111111,-49.7777777777778,-0.277777777777778,-3.94294050806295,0.290992694572684,0.970074213071051,0.019635415969928,366.684363143986,-0.332564936471722,-91.6710907859924,-0.200589970501475
"5","D5",TRUE,"BB0",1,NA,"BB0__1",50,1402.02222222222,0.0204311111111111,1.52222222222222,25.2,4117.2,0.08578,0.00281111111111111,-49.7777777777778,-0.277777777777778,-3.89069648538033,0.376988031722863,0.964891218044823,0.0207976591578211,-3854.27991639408,-0.234063711118246,-51.9289210292621,-0.287021154945683
"6","D5",TRUE,"BB0",1,NA,"BB0__1",60,1227.02222222222,0.0219311111111111,-1.27777777777778,27,4185.2,0.08578,0.00281111111111111,-49.7777777777778,-0.277777777777778,-3.8198490515745,0.49548316968133,0.968235524973049,0.0223999110714292,-7194.67142017181,-0.0503756429558746,117.857610754861,-0.00408163265306172
"7","D5",TRUE,"BB0",1,NA,"BB0__1",70,1269.82222222222,0.0240111111111111,0.722222222222222,28,4197.4,0.0858,0.00281111111111111,-49.7777777777778,-0.277777777777778,-3.72923859280552,0.618429241195594,0.980501895794928,0.0245735118731911,-9898.46307907531,0.326324190477475,19.5332275857429,-0.315068493150685
"8","D5",TRUE,"BB0",1,NA,"BB0__1",80,1153.62222222222,0.0270311111111111,1.12222222222222,27.6,4227.6,0.08548,0.00281111111111111,-49.7777777777778,-0.277777777777778,-3.61076681294925,0.745387055916112,0.987185523466631,0.0275260795772264,6665.67861526499,0.0595011670733893,34.8760162996206,-0.248677248677248
"9","D5",TRUE,"BB0",1,NA,"BB0__1",90,1236.02222222222,0.0308111111111111,0.722222222222222,28,4184.2,0.0854,0.00281111111111111,-49.7777777777778,-0.277777777777778,-3.47987990369662,0.869732671232121,0.991225765781201,0.0314837648324342,10108.0668621992,0.44029024369827,-83.8527416924517,0.662551440329218
"10","D5",TRUE,"BB0",1,NA,"BB0__1",100,1396.82222222222,0.0360311111111111,-0.477777777777777,29.2,4259.4,0.08528,0.00281111111111111,-49.7777777777778,-0.277777777777778,-3.32337251619885,0.9876212586238,0.992522924746051,0.0367668921739032,14977.6053247946,0.94520514095941,9.79141773248717,-0.324431256181998
