"","well","include","strain","isolate","description","strain.isolate","time.min","GFP","OD","other","other.bg","GFP.bg","OD.bg","well.OD.offset","well.GFP.offset","well.other.offset","logOD","specific.growth.rate","specific.growth.rate.adj.r.squared","fit.OD","GFP.rate","GFP.rate.adj.r.squared","other.rate","other.rate.adj.r.squared"
"1","C5",TRUE,"BB109",1,NA,"BB109__1",10,906.233333333333,0.0203183333333333,548.091666666667,19.2,4038.6,0.08664,0.000358333333333332,-78.1666666666667,-16.7083333333333,-3.89623168063314,NA,NA,NA,NA,NA,NA,NA
"2","C5",TRUE,"BB109",1,NA,"BB109__1",20,488.033333333333,0.0207583333333333,556.691666666667,20.6,4134.8,0.0864,0.000358333333333332,-78.1666666666667,-16.7083333333333,-3.874807506502,NA,NA,NA,NA,NA,NA,NA
"3","C5",TRUE,"BB109",1,NA,"BB109__1",30,744.833333333333,0.0213983333333333,561.291666666667,23,4022,0.08616,0.000358333333333332,-78.1666666666667,-16.7083333333333,-3.8444422416072,0.302444873415776,0.89098997847273,0.0219763983846039,-9741.35962833557,-0.169175032140182,365.847026400506,-0.0727388830837219
"4","C5",TRUE,"BB109",1,NA,"BB109__1",40,574.433333333334,0.0227383333333333,554.091666666667,25.2,4179.4,0.08602,0.000358333333333332,-78.1666666666667,-16.7083333333333,-3.78370308563541,0.442387728447419,0.941717329426127,0.0233948432744525,3257.12803911844,-0.280344443226686,51.2933549467446,-0.31861662987491
"5","C5",TRUE,"BB109",1,NA,"BB109__1",50,684.633333333333,0.0249783333333333,556.091666666667,25.2,4117.2,0.08578,0.000358333333333332,-78.1666666666667,-16.7083333333333,-3.68974649655329,0.574890052097465,0.982773263679238,0.0253907077926437,4452.02240611626,-0.236979079289824,713.646903740503,0.210791332569681
"6","C5",TRUE,"BB109",1,NA,"BB109__1",60,581.633333333333,0.0277783333333333,560.291666666667,27,4185.2,0.08578,0.000358333333333332,-78.1666666666667,-16.7083333333333,-3.58349893865611,0.685203989408999,0.991851583399365,0.0281713089177885,9848.31769122423,0.26663606963507,2734.6972135666,0.701292768029723
"7","C5",TRUE,"BB109",1,NA,"BB109__1",70,835.433333333334,0.0312583333333333,573.291666666667,28,4197.4,0.0858,0.000358333333333332,-78.1666666666667,-16.7083333333333,-3.4654692716823,0.774734881302597,0.992705367566138,0.031828171291532,13659.5972171253,0.450785975405919,3691.06974208272,0.897795264262575
"8","C5",TRUE,"BB109",1,NA,"BB109__1",80,730.233333333333,0.0359783333333333,609.691666666667,27.6,4227.6,0.08548,0.000358333333333332,-78.1666666666667,-16.7083333333333,-3.32483837356341,0.843435683088373,0.997256539554765,0.0363419755099379,14673.9408773794,0.649235383812608,3922.73667019054,0.977921290012087
"9","C5",TRUE,"BB109",1,NA,"BB109__1",90,972.633333333333,0.0418583333333333,629.291666666667,28,4184.2,0.0854,0.000358333333333332,-78.1666666666667,-16.7083333333333,-3.17346437801414,0.893047237081384,0.999617953288238,0.0419131892735063,13061.2823669336,0.650439865065314,4303.18005206077,0.957443392323709
"10","C5",TRUE,"BB109",1,NA,"BB109__1",100,957.433333333334,0.0484783333333333,651.091666666667,29.2,4259.4,0.08528,0.000358333333333332,-78.1666666666667,-16.7083333333333,-3.02663831624987,0.915358088981756,0.999774617769804,0.0487144795598979,15319.4698320116,0.896618817549091,4108.83995494377,0.953567972706198
