"","well","include","strain","isolate","description","strain.isolate","time.min","GFP","OD","other","other.bg","GFP.bg","OD.bg","well.OD.offset","well.GFP.offset","well.other.offset","logOD","specific.growth.rate","specific.growth.rate.adj.r.squared","fit.OD","GFP.rate","GFP.rate.adj.r.squared","other.rate","other.rate.adj.r.squared"
"1","C4",TRUE,"BB108",1,NA,"BB108__1",10,1525.98333333333,0.01711,4.3,19.2,4038.6,0.08664,0.00125,-77.4166666666667,-1.5,-4.06809219107804,NA,NA,NA,NA,NA,NA,NA
"2","C4",TRUE,"BB108",1,NA,"BB108__1",20,1582.78333333333,0.01735,2.9,20.6,4134.8,0.0864,0.00125,-77.4166666666667,-1.5,-4.05416277258927,NA,NA,NA,NA,NA,NA,NA
"3","C4",TRUE,"BB108",1,NA,"BB108__1",30,1612.58333333333,0.01809,2.5,23,4022,0.08616,0.00125,-77.4166666666667,-1.5,-4.01239597957493,0.360059287908258,0.879092471210189,0.0186943231474163,-9782.64891207229,0.0971440221672356,12.8381219318535,-0.329192546583851
"4","C4",TRUE,"BB108",1,NA,"BB108__1",40,1545.18333333333,0.01953,5.3,25.2,4179.4,0.08602,0.00125,-77.4166666666667,-1.5,-3.93580353409355,0.53349865448163,0.953572702730778,0.0201137743477906,-6174.87289319433,-0.150542566372302,5.23646145353472e-14,-0.333333333333333
"5","C4",TRUE,"BB108",1,NA,"BB108__1",50,1392.38333333333,0.02177,3.3,25.2,4117.2,0.08578,0.00125,-77.4166666666667,-1.5,-3.82722240373568,0.700282543647893,0.978483747391568,0.0222670580453618,-6698.684653183,-0.0851000316346848,-129.339043987443,0.0446194225721784
"6","C4",TRUE,"BB108",1,NA,"BB108__1",60,1589.38333333333,0.02467,2.5,27,4185.2,0.08578,0.00125,-77.4166666666667,-1.5,-3.70216734844087,0.87824346985584,0.979079743706617,0.0254481502232659,-297.074637396993,-0.332403075919927,-344.22934174568,0.944604316546763
"7","C4",TRUE,"BB108",1,NA,"BB108__1",70,1466.18333333333,0.02885,1.5,28,4197.4,0.0858,0.00125,-77.4166666666667,-1.5,-3.54564528602803,1.049271376671,0.984730160246537,0.0298890850440175,9727.96589697539,0.30248974694455,-184.682802831559,0.617250673854447
"8","C4",TRUE,"BB108",1,NA,"BB108__1",80,1501.98333333333,0.03527,-1.1,27.6,4227.6,0.08548,0.00125,-77.4166666666667,-1.5,-3.34472253473418,1.22076125782995,0.992510867563014,0.0360373267989549,6556.53515362445,0.199679639070835,-56.6079723776615,-0.120206489675517
"9","C4",TRUE,"BB108",1,NA,"BB108__1",90,1678.38333333333,0.04365,0.5,28,4184.2,0.0854,0.00125,-77.4166666666667,-1.5,-3.13155199669653,1.33139870388795,0.998420391401614,0.0443662255563037,17437.5888482603,0.811108349393561,102.780886650208,0.20627802690583
"10","C4",TRUE,"BB108",1,NA,"BB108__1",100,1680.18333333333,0.05547,1.3,29.2,4259.4,0.08528,0.00125,-77.4166666666667,-1.5,-2.89191294491499,1.35779576868387,0.999514109724923,0.0552607148633895,15285.3614378341,0.864571454171298,104.233179289109,0.508771929824561
"11","C4",TRUE,"BB108",1,NA,"BB108__1",110,2021.78333333333,0.06977,4.1,28.4,4247.8,0.08528,0.00125,-77.4166666666667,-1.5,-2.66255116103099,1.34459149385215,0.999167739397337,0.0690186183297327,17800.4142901068,0.825372854283964,8.69330645150749,-0.317460317460318
"12","C4",TRUE,"BB108",1,NA,"BB108__1",120,2034.18333333333,0.08649,1.9,29.6,4269.4,0.08546,0.00125,-77.4166666666667,-1.5,-2.44772647866372,1.28914007031059,0.999290328879728,0.0859891309127936,17339.4007378922,0.921566042075912,-18.1418277338108,-0.1982414068745
"13","C4",TRUE,"BB108",1,NA,"BB108__1",130,2525.18333333333,0.10719,0.699999999999999,29.8,4226.4,0.08536,0.00125,-77.4166666666667,-1.5,-2.23315231827871,1.23442892447924,0.999096023431323,0.106090410939033,12136.8179141086,0.876663208074363,21.4911034825782,-0.231786216596343
"14","C4",TRUE,"BB108",1,NA,"BB108__1",140,2670.98333333333,0.13103,1.7,28.8,4231.6,0.08552,0.00125,-77.4166666666667,-1.5,-2.03232897436564,1.15349472936202,0.996115111176961,0.129068904406227,12635.1115127411,0.909552010293342,2.78920783945721,-0.331401588323675
"15","C4",TRUE,"BB108",1,NA,"BB108__1",150,2776.38333333333,0.15857,6.1,28.4,4210.2,0.08508,0.00125,-77.4166666666667,-1.5,-1.84155914278066,1.04130364201063,0.992874061379406,0.154749347015305,10019.5576259631,0.91540926258076,14.7335032035677,-0.262423885287763
"16","C4",TRUE,"BB108",1,NA,"BB108__1",160,3267.58333333333,0.18595,-0.5,30,4219,0.0851,0.00125,-77.4166666666667,-1.5,-1.68227745861106,0.895228683712246,0.984306638596542,0.181464987939774,13612.5432682355,0.896980625235163,-10.5805534268529,-0.279731993299833
"17","C4",TRUE,"BB108",1,NA,"BB108__1",170,3518.98333333333,0.21429,3.7,28.8,4302.6,0.08506,0.00125,-77.4166666666667,-1.5,-1.54042504114715,0.745921784330315,0.982390362834441,0.208303564662089,15469.5384364992,0.964675775506383,-15.5542225369784,-0.176356589147286
"18","C4",TRUE,"BB108",1,NA,"BB108__1",180,4358.18333333333,0.23767,1.3,29.2,4216.4,0.08498,0.00125,-77.4166666666667,-1.5,-1.43687212208886,0.62731923032027,0.985518924547134,0.234072180488628,16541.0515334098,0.966958279883501,8.20259800200084,-0.191583610188261
"19","C4",TRUE,"BB108",1,NA,"BB108__1",190,4916.38333333333,0.26115,2.5,29,4273.2,0.085,0.00125,-77.4166666666667,-1.5,-1.34266032409983,0.543928971620947,0.99665064809105,0.258994547794989,18966.8857581065,0.983794420885635,-19.4598691088644,0.557575757575758
"20","C4",TRUE,"BB108",1,NA,"BB108__1",200,5795.38333333333,0.28411,1.7,29.8,4204.2,0.08514,0.00125,-77.4166666666667,-1.5,-1.25839379186782,0.508610360992338,0.998652126511533,0.283060020496966,17591.7460588659,0.98525429972214,-16.109657563064,0.514084507042254
"21","C4",TRUE,"BB108",1,NA,"BB108__1",210,6893.98333333333,0.30839,-0.699999999999999,30.2,4187.6,0.08506,0.00125,-77.4166666666667,-1.5,-1.17639006324021,0.488831516141372,0.999825695271683,0.307892405757938,15557.9024049264,0.974291551987064,-5.84619810796874,-0.223523670082967
"22","C4",TRUE,"BB108",1,NA,"BB108__1",220,7518.98333333333,0.33415,-0.899999999999999,30.4,4213.6,0.0851,0.00125,-77.4166666666667,-1.5,-1.09616528502506,0.453421579319574,0.994050654929171,0.33234595230628,14049.2157873402,0.977285226311432,14.0817120459076,0.121375186846038
"23","C4",TRUE,"BB108",1,NA,"BB108__1",230,8046.38333333333,0.36189,2.3,29.2,4222.2,0.08506,0.00125,-77.4166666666667,-1.5,-1.01641498073674,0.416410266748974,0.992117597587551,0.357242699543681,12007.971066951,0.982418508355737,28.552018034319,0.906158860868073
"24","C4",TRUE,"BB108",1,NA,"BB108__1",240,9110.18333333333,0.38269,4.1,29.4,4185.4,0.08506,0.00125,-77.4166666666667,-1.5,-0.960530017019916,0.380204345947795,0.994940973996147,0.382185519622272,12124.7921809803,0.987164456710093,9.73349279082214,-0.128647497337593
"25","C4",TRUE,"BB108",1,NA,"BB108__1",250,9673.18333333333,0.40771,5.3,29.2,4244.4,0.08494,0.00125,-77.4166666666667,-1.5,-0.897199141618634,0.331374409984136,0.991389437753873,0.405420944562211,14313.7153564338,0.961123840578383,-3.84785251212057,-0.260457093574817
"26","C4",TRUE,"BB108",1,NA,"BB108__1",260,10567.1833333333,0.43217,0.699999999999999,29.8,4193.4,0.08508,0.00125,-77.4166666666667,-1.5,-0.838936249627613,0.288327493234422,0.972372367897566,0.426044674159852,11417.6758801,0.882349045584073,-18.307939221119,0.516596258298129
"27","C4",TRUE,"BB108",1,NA,"BB108__1",270,12153.7833333333,0.44885,2.7,29.8,4087.8,0.085,0.00125,-77.4166666666667,-1.5,-0.80106652277944,0.234262062207456,0.975068285094085,0.445498009275732,10998.0289428577,0.884277893771644,-13.7374351233344,0.265837364662521
"28","C4",TRUE,"BB108",1,NA,"BB108__1",280,11923.5833333333,0.46379,-1.1,29.6,4187,0.08496,0.00125,-77.4166666666667,-1.5,-0.768323415410828,0.205533965399144,0.998340083974779,0.463461391016936,9430.68847743627,0.872893472660408,-0.517842488396685,-0.330478229835832
"29","C4",TRUE,"BB108",1,NA,"BB108__1",290,13077.9833333333,0.47841,1.1,29.4,4192.6,0.08504,0.00125,-77.4166666666667,-1.5,-0.737287173554147,0.185912725692629,0.989525104059685,0.478379764207432,6721.93984903938,0.833363957383729,-2.00677384753198,-0.287651677373305
"30","C4",TRUE,"BB108",1,NA,"BB108__1",300,13747.3833333333,0.49681,1.3,29.2,4192.2,0.08504,0.00125,-77.4166666666667,-1.5,-0.699547619740973,0.161903095161809,0.970224820794432,0.49189307767544,6296.0024049036,0.801597344715642,6.34284185242922,0.425364758698092
